Palabra              Idf                 
alli                : 0.0                 
copi                : 0.17609125905568124 
general             : 0.0                 
interes             : 0.0                 
juzg                : 0.47712125471966244 
años                : 0.17609125905568124 
ibas                : 0.47712125471966244 
utilic              : 0.47712125471966244 
asist               : 0.17609125905568124 
segment             : 0.47712125471966244 
sean                : 0.17609125905568124 
calif               : 0.17609125905568124 
limit               : 0.17609125905568124 
hag                 : 0.0                 
sentenci            : 0.47712125471966244 
retom               : 0.47712125471966244 
intergrupal         : 0.47712125471966244 
cuidart             : 0.47712125471966244 
modul               : 0.47712125471966244 
histori             : 0.47712125471966244 
denl                : 0.47712125471966244 
configur            : 0.47712125471966244 
demor               : 0.47712125471966244 
empres              : 0.17609125905568124 
d                   : 0.47712125471966244 
recuper             : 0.17609125905568124 
podr                : 0.17609125905568124 
motiv               : 0.0                 
vain                : 0.47712125471966244 
ide                 : 0.0                 
primer              : 0.17609125905568124 
acent               : 0.47712125471966244 
respuest            : 0.0                 
agarrarset          : 0.47712125471966244 
compr               : 0.47712125471966244 
funcional           : 0.47712125471966244 
hipotesis           : 0.47712125471966244 
blanc               : 0.47712125471966244 
oig                 : 0.47712125471966244 
mezcl               : 0.47712125471966244 
credibil            : 0.47712125471966244 
dejem               : 0.47712125471966244 
oblig               : 0.17609125905568124 
abro                : 0.47712125471966244 
schedul             : 0.47712125471966244 
corrig              : 0.47712125471966244 
has                 : 0.47712125471966244 
simpl               : 0.47712125471966244 
daniel              : 0.47712125471966244 
flexibl             : 0.47712125471966244 
creativ             : 0.47712125471966244 
anim                : 0.47712125471966244 
seminari            : 0.47712125471966244 
molesti             : 0.47712125471966244 
expositor           : 0.47712125471966244 
autoriz             : 0.47712125471966244 
entend              : 0.0                 
sosten              : 0.47712125471966244 
pod                 : 0.0                 
usen                : 0.47712125471966244 
patron              : 0.47712125471966244 
confianz            : 0.0                 
hernandez           : 0.47712125471966244 
comuniqu            : 0.17609125905568124 
enter               : 0.17609125905568124 
cit                 : 0.47712125471966244 
tambien             : 0.0                 
conscienci          : 0.47712125471966244 
influ               : 0.47712125471966244 
dict                : 0.0                 
regal               : 0.47712125471966244 
sinton              : 0.47712125471966244 
tencion             : 0.47712125471966244 
permit              : 0.17609125905568124 
pedaz               : 0.47712125471966244 
vag                 : 0.47712125471966244 
basic               : 0.0                 
x                   : 0.47712125471966244 
tec                 : 0.47712125471966244 
pirquen             : 0.47712125471966244 
introduccion        : 0.47712125471966244 
feliz               : 0.47712125471966244 
arrastr             : 0.47712125471966244 
atencion            : 0.47712125471966244 
intelectual         : 0.47712125471966244 
estil               : 0.47712125471966244 
grab                : 0.47712125471966244 
iban                : 0.17609125905568124 
analisis            : 0.47712125471966244 
estrict             : 0.17609125905568124 
ve                  : 0.17609125905568124 
promocion           : 0.47712125471966244 
correct             : 0.17609125905568124 
cuent               : 0.0                 
coraj               : 0.47712125471966244 
tristez             : 0.47712125471966244 
veran               : 0.47712125471966244 
abus                : 0.47712125471966244 
empez               : 0.17609125905568124 
peorment            : 0.47712125471966244 
vieron              : 0.47712125471966244 
encontr             : 0.0                 
dig                 : 0.0                 
dificil             : 0.0                 
dragon              : 0.47712125471966244 
lenguaj             : 0.47712125471966244 
hic                 : 0.0                 
dic                 : 0.17609125905568124 
esper               : 0.17609125905568124 
explic              : 0.0                 
negat               : 0.47712125471966244 
ogro                : 0.47712125471966244 
pelicul             : 0.0                 
preocup             : 0.17609125905568124 
medicament          : 0.47712125471966244 
music               : 0.47712125471966244 
memor               : 0.47712125471966244 
seried              : 0.47712125471966244 
proactiv            : 0.47712125471966244 
via                 : 0.47712125471966244 
interfac            : 0.47712125471966244 
just                : 0.0                 
tranquil            : 0.47712125471966244 
problem             : 0.0                 
he                  : 0.0                 
persever            : 0.17609125905568124 
ahorit              : 0.17609125905568124 
ocho                : 0.47712125471966244 
sent                : 0.0                 
proces              : 0.17609125905568124 
experiment          : 0.47712125471966244 
record              : 0.0                 
toc                 : 0.0                 
herramient          : 0.0                 
obvi                : 0.47712125471966244 
principi            : 0.47712125471966244 
aul                 : 0.47712125471966244 
dispon              : 0.47712125471966244 
matemat             : 0.47712125471966244 
comenc              : 0.47712125471966244 
invit               : 0.17609125905568124 
pong                : 0.0                 
recurs              : 0.17609125905568124 
discut              : 0.0                 
encuest             : 0.47712125471966244 
investig            : 0.0                 
ayudant             : 0.47712125471966244 
sep                 : 0.47712125471966244 
atend               : 0.47712125471966244 
espontane           : 0.47712125471966244 
tenert              : 0.47712125471966244 
ejercici            : 0.0                 
itinerari           : 0.47712125471966244 
hall                : 0.47712125471966244 
map                 : 0.17609125905568124 
creacion            : 0.47712125471966244 
exced               : 0.47712125471966244 
papel               : 0.0                 
tant                : 0.47712125471966244 
bastant             : 0.47712125471966244 
instructor          : 0.47712125471966244 
constant            : 0.17609125905568124 
tercer              : 0.0                 
todav               : 0.17609125905568124 
laboratori          : 0.47712125471966244 
perfect             : 0.47712125471966244 
sistem              : 0.0                 
del                 : 0.47712125471966244 
cer                 : 0.47712125471966244 
prim                : 0.0                 
llev                : 0.0                 
caus                : 0.47712125471966244 
vean                : 0.17609125905568124 
diseñ               : 0.0                 
dal                 : 0.47712125471966244 
entrar              : 0.47712125471966244 
veo                 : 0.47712125471966244 
hallazg             : 0.47712125471966244 
tres                : 0.17609125905568124 
justici             : 0.47712125471966244 
l                   : 0.47712125471966244 
explor              : 0.47712125471966244 
empiez              : 0.47712125471966244 
ecuatorian          : 0.47712125471966244 
pellic              : 0.47712125471966244 
drag                : 0.47712125471966244 
piens               : 0.0                 
leccion             : 0.0                 
pid                 : 0.0                 
acept               : 0.47712125471966244 
posibl              : 0.0                 
articul             : 0.17609125905568124 
anecdot             : 0.17609125905568124 
nivel               : 0.47712125471966244 
trist               : 0.47712125471966244 
libr                : 0.0                 
increibl            : 0.47712125471966244 
perfil              : 0.47712125471966244 
man                 : 0.0                 
vei                 : 0.17609125905568124 
cas                 : 0.0                 
profundiz           : 0.47712125471966244 
negr                : 0.47712125471966244 
aprovech            : 0.47712125471966244 
red                 : 0.47712125471966244 
